event,aggregate,app,when,payload,consumers,delivery,ordering,domain_group
CashFlowForecast.Submitted,HRP Cash Flow Forecast,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
VoucherGenerationRequest.Submitted,HRP Voucher Generation Request,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
VoucherLink.Submitted,HRP Voucher Link,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
AuxiliaryDimensionMapping.Submitted,HRP Auxiliary Dimension Mapping,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
PeriodCloseChecklist.Submitted,HRP Period Close Checklist,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
FinancialReconciliation.Submitted,HRP Financial Reconciliation,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CostingPeriod.Submitted,HRP Costing Period,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CostCollection.Submitted,HRP Cost Collection,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CostAllocationStep.Submitted,HRP Cost Allocation Step,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CostAllocationResult.Submitted,HRP Cost Allocation Result,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
ServiceCostResult.Submitted,HRP Service Cost Result,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
DiseaseCostResult.Submitted,HRP Disease Cost Result,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
DRGDIPCostResult.Submitted,HRP DRG DIP Cost Result,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
CostingRun.Submitted,HRP Costing Run,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Finance
SupplierRegistration.Submitted,HRP Supplier Registration,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
SupplierQualification.Submitted,HRP Supplier Qualification,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
SupplierCertificate.Submitted,HRP Supplier Certificate,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
SupplierProductAuthorization.Submitted,HRP Supplier Product Authorization,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
SupplierRisk.Submitted,HRP Supplier Risk,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
SupplierEvaluation.Submitted,HRP Supplier Evaluation,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
SupplierBlacklist.Submitted,HRP Supplier Blacklist,ione_hrp,on_submit,"name,company,organization_unit,status,amount,version,correlation_id","integration,outbox,notifications,audit",At least once,Per aggregate,Supply
