task_id,phase,app,epic,title,priority,depends_on,size,deliverables,acceptance_criteria,test_requirements,status,domain_group
COD-029,1-核心闭环,ione_hrp,HRP核心平台,实现业务规则引擎,P0,COD-028,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现业务规则引擎完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-030,1-核心闭环,ione_hrp,HRP核心平台,交付核心工作台与报表,P0,COD-029,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,交付核心工作台与报表完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Core
COD-031,1-核心闭环,ione_hrp,财务预算成本,实现预算版本与计划,P0,COD-001,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预算版本与计划完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-032,1-核心闭环,ione_hrp,财务预算成本,实现预算申报汇总审批,P0,COD-031,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预算申报汇总审批完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-033,1-核心闭环,ione_hrp,财务预算成本,实现预算不可变台账,P0,COD-032,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预算不可变台账完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-034,1-核心闭环,ione_hrp,财务预算成本,实现预算并发控制服务,P0,COD-033,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预算并发控制服务完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-035,1-核心闭环,ione_hrp,财务预算成本,实现预占释放承诺实际转换,P0,COD-034,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预占释放承诺实际转换完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-036,1-核心闭环,ione_hrp,财务预算成本,实现预算调整调剂,P0,COD-035,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预算调整调剂完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-037,1-核心闭环,ione_hrp,财务预算成本,实现费用政策和标准,P0,COD-036,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现费用政策和标准完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-038,1-核心闭环,ione_hrp,财务预算成本,扩展Expense Claim与事前申请,P0,COD-037,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,扩展Expense Claim与事前申请完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-039,1-核心闭环,ione_hrp,财务预算成本,实现发票验真查重适配,P0,COD-038,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现发票验真查重适配完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-040,1-核心闭环,ione_hrp,财务预算成本,实现借款和个人往来,P0,COD-039,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现借款和个人往来完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-041,1-核心闭环,ione_hrp,财务预算成本,实现付款申请与批次,P0,COD-040,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现付款申请与批次完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-042,1-核心闭环,ione_hrp,财务预算成本,实现银行回执和资金对账,P0,COD-041,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现银行回执和资金对账完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-043,1-核心闭环,ione_hrp,财务预算成本,实现会计规则和凭证生成,P0,COD-042,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现会计规则和凭证生成完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-044,1-核心闭环,ione_hrp,财务预算成本,实现业财对账,P0,COD-043,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现业财对账完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-045,1-核心闭环,ione_hrp,财务预算成本,实现成本核算引擎,P0,COD-044,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现成本核算引擎完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-046,1-核心闭环,ione_hrp,财务预算成本,交付财务预算成本报表,P0,COD-045,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,交付财务预算成本报表完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Finance
COD-047,1-核心闭环,ione_hrp,采购供应链合同,实现供应商注册门户,P1,COD-001,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现供应商注册门户完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-048,1-核心闭环,ione_hrp,采购供应链合同,实现供应商准入和证照,P1,COD-047,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现供应商准入和证照完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-049,1-核心闭环,ione_hrp,采购供应链合同,实现供应商风险评价,P1,COD-048,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现供应商风险评价完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-050,1-核心闭环,ione_hrp,采购供应链合同,实现采购分类和寻源计划,P1,COD-049,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现采购分类和寻源计划完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-051,1-核心闭环,ione_hrp,采购供应链合同,实现采购需求与预算预占,P1,COD-050,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现采购需求与预算预占完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-052,1-核心闭环,ione_hrp,采购供应链合同,实现采购方式决策,P1,COD-051,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现采购方式决策完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-053,1-核心闭环,ione_hrp,采购供应链合同,实现招标项目和标包,P1,COD-052,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现招标项目和标包完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-054,1-核心闭环,ione_hrp,采购供应链合同,实现专家抽取回避,P1,COD-053,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现专家抽取回避完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-055,1-核心闭环,ione_hrp,采购供应链合同,实现评标和定标,P1,COD-054,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现评标和定标完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-056,1-核心闭环,ione_hrp,采购供应链合同,实现价格库和异常检测,P1,COD-055,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现价格库和异常检测完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-057,1-核心闭环,ione_hrp,采购供应链合同,实现采购订单扩展,P1,COD-056,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现采购订单扩展完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-058,1-核心闭环,ione_hrp,采购供应链合同,实现到货质量验收,P1,COD-057,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现到货质量验收完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-059,1-核心闭环,ione_hrp,采购供应链合同,实现三单匹配,P1,COD-058,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现三单匹配完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-060,1-核心闭环,ione_hrp,采购供应链合同,实现合同起草审批,P1,COD-059,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现合同起草审批完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-061,1-核心闭环,ione_hrp,采购供应链合同,实现合同义务和付款计划,P1,COD-060,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现合同义务和付款计划完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-062,1-核心闭环,ione_hrp,采购供应链合同,实现科室库存台账,P1,COD-061,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现科室库存台账完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-063,1-核心闭环,ione_hrp,采购供应链合同,实现智能柜/UDI患者追溯,P1,COD-062,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现智能柜/UDI患者追溯完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-064,1-核心闭环,ione_hrp,采购供应链合同,实现寄售结算和召回,P1,COD-063,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现寄售结算和召回完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Supply
COD-065,2-精细运营,ione_hrp,资产设备后勤,实现资产购置论证,P1,COD-001,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现资产购置论证完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-066,2-精细运营,ione_hrp,资产设备后勤,实现资产验收建卡,P1,COD-065,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现资产验收建卡完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-067,2-精细运营,ione_hrp,资产设备后勤,实现资产保管调拨盘点处置,P1,COD-066,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现资产保管调拨盘点处置完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-068,2-精细运营,ione_hrp,资产设备后勤,实现设备专业档案,P1,COD-067,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现设备专业档案完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-069,2-精细运营,ione_hrp,资产设备后勤,实现预防性维护,P1,COD-068,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现预防性维护完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-070,2-精细运营,ione_hrp,资产设备后勤,实现故障与维修工单,P1,COD-069,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现故障与维修工单完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-071,2-精细运营,ione_hrp,资产设备后勤,实现计量与质控,P1,COD-070,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现计量与质控完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-072,2-精细运营,ione_hrp,资产设备后勤,实现设备停机和效益,P1,COD-071,L,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现设备停机和效益完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-073,2-精细运营,ione_hrp,资产设备后勤,实现后勤服务工单,P1,COD-072,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现后勤服务工单完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
COD-074,2-精细运营,ione_hrp,资产设备后勤,实现运营档案,P1,COD-073,M,DocType/Service/API/Workspace/Fixtures/Tests/Docs as applicable,实现运营档案完成；权限、审计、幂等和异常路径有自动化测试；不得修改Frappe/ERPNext/HRMS核心源码。,unit + integration; workflow/API tasks require end-to-end test; ledger tasks require concurrency/reversal test,Not Started,Asset
